City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Shelopugino,51.6514,117.5599,-5.39,96,83,1.59,RU,broken clouds
80,Hare Bay,48.8499,-54.0148,18.19,86,100,3.65,CA,overcast clouds
81,Sao Francisco,-15.9486,-44.8644,69.75,82,74,2.17,BR,broken clouds
82,Ust-Kuyga,70.0167,135.6,-21.1,100,96,8.3,RU,overcast clouds
83,Lavrentiya,65.5833,-171.0,-20.92,87,11,5.46,RU,few clouds
84,Kavaratti,10.5669,72.642,77.4,52,100,5.5,IN,overcast clouds
85,Clyde River,70.4692,-68.5914,-13.27,95,100,8.72,CA,overcast clouds
86,Progreso,21.2833,-89.6667,76.1,93,15,6.73,MX,few clouds
87,Alugan,12.2188,125.4808,80.02,88,92,12.64,PH,overcast clouds
88,Burgeo,47.6167,-57.6152,30.54,94,100,21.81,CA,snow
89,Traralgon,-38.1833,146.5333,91.85,34,3,6.46,AU,clear sky
90,Half Moon Bay,37.4636,-122.4286,56.91,83,20,3.0,US,few clouds
91,Tiksi,71.6872,128.8694,-4.32,95,100,11.72,RU,overcast clouds
92,Bongued,7.1167,124.4,84.67,69,91,9.01,PH,overcast clouds
93,Punta Arenas,-53.15,-70.9167,46.42,61,0,14.97,CL,clear sky
94,Graham,47.0529,-122.2943,38.52,96,100,1.01,US,mist
95,Ojinaga,29.5667,-104.4167,62.42,31,0,3.44,MX,clear sky
96,Miri,4.4148,114.0089,77.14,94,40,3.44,MY,scattered clouds
97,Seoul,37.5683,126.9778,36.91,53,6,3.71,KR,clear sky
98,Pemangkat,1.1667,108.9667,81.19,77,24,8.34,ID,few clouds
99,Kavieng,-2.5744,150.7967,83.93,75,95,8.23,PG,light rain
100,Atambua,-9.1061,124.8925,80.83,72,100,8.14,ID,overcast clouds
101,Kosonsoy,41.2561,71.5508,25.36,38,0,6.98,UZ,clear sky
102,Camacha,33.0833,-16.3333,57.96,67,40,13.8,PT,scattered clouds
103,Ponta Do Sol,32.6667,-17.1,61.43,64,25,8.52,PT,scattered clouds
104,Kapaa,22.0752,-159.319,78.78,67,20,5.01,US,few clouds
105,Ostrovnoy,68.0531,39.5131,17.26,86,22,17.4,RU,few clouds
106,Norman Wells,65.282,-126.8329,35.94,82,100,18.66,CA,overcast clouds
107,Victor Harbor,-35.5667,138.6167,92.46,70,3,3.0,AU,clear sky
108,Ouricuri,-7.8825,-40.0817,70.61,79,53,2.64,BR,broken clouds
109,Saldanha,-33.0117,17.9442,62.64,90,0,16.93,ZA,clear sky
110,Haapiti,-17.5667,-149.8667,85.73,75,37,14.25,PF,light rain
111,Marondera,-18.1853,31.5519,59.86,98,100,8.79,ZW,light rain
112,Dikson,73.5069,80.5464,11.19,91,100,30.71,RU,light snow
113,Saskylakh,71.9167,114.0833,9.63,85,100,18.92,RU,overcast clouds
114,Key West,24.5557,-81.7826,73.4,84,40,5.75,US,scattered clouds
115,Alpena,45.0617,-83.4327,10.11,93,100,1.01,US,overcast clouds
116,Flin Flon,54.7682,-101.865,6.55,76,100,15.19,CA,overcast clouds
